,restaurant_name,dave_scores,user_scores,address,lat,long
0,Pizza Hut,0.0,2.7,"213. Sok., Adana, 01",37.0385845,35.2930436
1,Del sole,0.0,7.3,"字ニセコ483-1, 虻田郡, 01",42.8470917,140.6460273
2,Lava Lounge Pizza Niseko,0.0,4.2,"倶知安町字山田191-19, 虻田郡, 01",42.8604266,140.7048198
3,Pizzaria Cosa Nostra,0.0,8.5,"R. Custódio Brás Pacheco, 1, Vila Nova de Milfontes, 02",37.7249823,-8.7812223
4,Olivia Tjuvholmen,0.0,8.4,"Bryggegangen 4, Oslo, 03",59.90871929999999,10.7225409
5,Mamma Pizza Osteria,0.0,9.7,"Dronningens gate 22, Oslo, 03",59.9107408,10.7468351
6,Villa Paradiso Frogner,0.0,9.5,"Sommerrogata 17, Oslo, 03",59.9150102,10.7179623
7,Balkan Pizza & Kebabhouse,0.0,9.3,"Mauritz Hansens gate 5, Oslo, 03",59.9214192,10.7322475
8,Pizza Pili,0.0,9.2,"24 Rue Benoit Bunico, Nice, 06",43.696608,7.276624000000001
9,La Pizza Cresci,0.0,6.2,"34 Rue Masséna, Nice, 06",43.6969378,7.2651597
