,restaurant_name,dave_scores,user_scores,address
0,Pizza Hut,0.0,2.7,"213. Sok., Adana, 01"
1,Del sole,0.0,7.3,"字ニセコ483-1, 虻田郡, 01"
2,Lava Lounge Pizza Niseko,0.0,4.2,"倶知安町字山田191-19, 虻田郡, 01"
3,Pizzaria Cosa Nostra,0.0,8.5,"R. Custódio Brás Pacheco, 1, Vila Nova de Milfontes, 02"
4,Olivia Tjuvholmen,0.0,8.4,"Bryggegangen 4, Oslo, 03"
5,Mamma Pizza Osteria,0.0,9.7,"Dronningens gate 22, Oslo, 03"
6,Villa Paradiso Frogner,0.0,9.5,"Sommerrogata 17, Oslo, 03"
7,Balkan Pizza & Kebabhouse,0.0,9.3,"Mauritz Hansens gate 5, Oslo, 03"
8,Pizza Pili,0.0,9.2,"24 Rue Benoit Bunico, Nice, 06"
9,La Pizza Cresci,0.0,6.2,"34 Rue Masséna, Nice, 06"
10,Domino's Pizza,0.0,5.2,"Öveçler Mah., Ankara, 06"
11,Pizza Time,0.0,6.2,"Dikmen Cad. No: 333/ A, Ankara, 06"
12,Schiller,0.0,7.4,"Güzeloba Mah., Antalya, 07"
13,Mario's Pizza,0.0,6.5,"Jalan Sungai Emas, Batu Ferringhi, 07"
14,Olive Kitchen and Bar,0.0,1.8,"3J Jalan Penang, George Town, 07"
15,Pizzamobile Salema,0.0,8.1,"R. 28 de Janeiro, 3, Salema, 08"
16,Nosolo Italia,0.0,6.6,"Edificio Marina Gaivota, Quarteira, 08"
17,Patty & Pie,0.0,5.9,"40, Jalan PJU 1/45,, Petaling Jaya, 10"
18,Luzzo Pizzaria,0.0,6.2,"Rua de Santa Marta, 37, Lisbon, 11"
19,Pizza a Pezzi,0.0,4.4,"Rua D. Pedro V, 84, Lisbon, 11"
20,ZeroZero,0.0,7.8,"R. da Escola Politécnica, 32, Lisbon, 11"
21,Popolo,0.0,6.2,"Av. 24 de Julho, 50, Lisbon, 11"
22,Madpizza,0.0,4.1,"Rua António Enes 1, Lisbon, 11"
23,Pizza Bar Komugi  Musashi Urawa ,0.0,7.4,"南区沼影1-8-22, Saitama, 11"
24,Pizzeria Golden Rax Pizzabuffet,0.0,9.1,"Hämeenkatu 5, Tampere, 11"
25,Renaa Xpress Sølvberget,0.0,4.2,"Sølvberggata 2, Stavanger, 11"
26,M'Arrecreo,0.0,6.9,"Travessa dos Inglesinhos, 36, Lisbon, 11"
27,Jamie Oliver’s Pizzeria,0.0,7.1,"R. do Loreto, 12, Lisbon, 11"
28,Chez Jo,0.0,6.8,"59 rue Espariat, Aix-en-Provence, 13"
29,Ｓａｖｏｙ三宿通り店,0.0,8.5,"下馬1丁目23-13, Setagaya, 13"
30,Savoy Azabujuban ,0.0,9.6,"元麻布3丁目10-1, Minato, 13"
31,SAVOY Tomato & Cheese,0.0,9.4,"麻布十番3-3-13, Minato, 13"
32,IL Pizzaiolo,0.0,5.9,"R. Cândido dos Reis, 18, Porto, 13"
33,Pizza Celeste,0.0,6.8,"Praça Carlos Alberto, Porto, 13"
34,PIZZA SLICE,0.0,7.0,"猿楽町1-3, Shibuya, 13"
35,SEIRINKAN,0.0,8.7,"上目黒2-6-4, Meguro, 13"
36,PIZZA SALVATORE CUOMO & BAR Shinjuku,0.0,6.9,"西新宿1-26-2, Shinjuku, 13"
37,PIZZA STRADA,0.0,8.7,"麻布十番3-6-2, Minato, 13"
38,Pizza Studio Tamaki,0.0,9.3,"東麻布1-24-6, Minato, 13"
39,Pizzakaya,0.0,6.7,"西麻布3-1-19, Minato, 13"
40,PIZZA SLICE 2,0.0,7.5,"南青山3-14-17, Minato, 13"
41,Rocco's New York Style Pizza,0.0,5.9,"王子本町1-1-24, Kita, 13"
42,The Pizza Bar on 38th,0.0,8.9,"日本橋室町2-1-1, Chūō, 13"
43,Pizza Salvatore Cuomo Higashi-Ginza,0.0,6.0,"築地1-2-1, Chūō, 13"
44,DEVIL CRAFT Gotanda,0.0,7.5,"西五反田2-7-8, Shinagawa, 13"
45,Bonsalute Kabuki,0.0,7.2,"歌舞伎町1-19-1, Shinjuku, 13"
46,Cona Ueno,0.0,7.5,"上野2-12-23, Bunkyo, 13"
47,Napoli's Pizza & Caffé Akasaka Hitotsugi Dori,0.0,6.1,"赤坂3-18-10, Minato, 13"
48,Cinema Cafe Pizzeria Bar Napoli,0.0,3.4,"曙町2-42-26, Tachikawa, 13"
49,NAPOLISTACA,0.0,7.4,"麻布台1丁目11-4　いんなあとりっぷビル1Ｆ, Minato, 13"
50,La Cantina,0.0,8.4,"18 boulevard Victor Hugo, Saint Rémy de Provence, 13"
51,Pizza Brun,0.0,8.5,"1 rue Edouard Foscalina, Maussane-les-Alpilles, 13"
52,PIZZA SLICE&SODA FOUNTAIN,0.0,6.6,"六本木7-3-13, Minato, 13"
53,Pizzabakeren Sogndal,0.0,7.9,"Fjørdevegen 8 C, Sogndal, 14"
54,Napoli Pizzeria,0.0,8.8,"本町1-1, Yokosuka, 14"
55,Mikey's New York Pizza,0.0,8.1,"Lingkaran Syed Putra, Kuala Lumpur, 14"
56,PIZZERIA BAR NAPOLI,0.0,5.6,"北幸2-2-1, 西区, 14"
57,3 Sentidos Pizzaria,0.0,6.7,"Av. Infante Dom Henrique, 71, Ponta Delgada, 20"
58,Le Plaisancia,0.0,2.3,"7 Route De Paris, Plombières-lès-Dijon, 21"
59,İzabella Pizza,0.0,5.3,"1. Murat Mah., Edirne, 22"
60,Slices,0.0,6.1,"中央区西心斎橋2丁目3-21, Osaka, 27"
61,PIZZERIA Due Sette,0.0,9.1,"西区靱本町2-4-7, Osaka, 27"
62,WOLFGANG PUCK PIZZA Osaka International Airport ,0.0,6.6,"蛍池西町3-555, Toyonaka, 27"
63,Le Bellini,0.0,7.6,"7 place du Capitole, Toulouse, 31"
64,Pizzeria du Vieux Lavoir,0.0,6.1,"19 rue de la Grande Fontaine, Saint-Émilion, 33"
65,Dolomites Pizzas,0.0,4.0,"23 Cours de la Martinique, Bordeaux, 33"
66,Taksim My House,0.0,4.9,"Sıraselviler Cad. No: 35/ 1, Istanbul, 34"
67,Gusto Pizza,0.0,7.3,"26 Rue St Hélier, Rennes, 35"
68,Nappo Pizza,0.0,8.1,"Mavişehir Mah., İzmir, 35"
69,Casa Antonella,0.0,7.1,"42 rue de la Léchère, Tignieu-Jameyzieu, 38"
70,hotel restaurant chez jean paul,0.0,4.2,"39 Avenue Maurice Martin, Mimizan, 40"
71,L'Antica Pizzeria da Michele,0.0,7.7,"中央区大名1-4-18, Fukuoka, 40"
72,Italian Bar Barumichi Hakata,0.0,4.7,"博多区博多駅中央街6-12, Fukuoka, 40"
73,Brodie's Food Court,0.0,5.9,"立神町タテガミマチオ23, Sasebo, 42"
74,Bip Bip Pizza,0.0,2.7,"57 Boulevard Liberté, Agen, 47"
75,Bella Napoli Pizzeria,0.0,8.5,"北谷町宮城 2-208, 中頭郡, 47"
76,Pizzeria MARINO Gushikawa ,0.0,4.9,"字江州468-1, Uruma, 47"
77,pizzeria da ENZO,0.0,7.5,"恩納村真栄田塩焼原715-3, 国頭郡, 47"
78,Okinawa Brewing Mihama Cafe,0.0,7.9,"北谷町美浜9-7, 中頭郡, 47"
79,Bacar,0.0,8.6,"久茂地3-16-15, Naha, 47"
80,Shakey's Pizza -Plaza House,0.0,5.5,"久保田3-1-3, Okinawa, 47"
81,PIZZA 555,0.0,7.1,"上地1-1-1, Okinawa, 47"
82,Ocean's Pizza,0.0,6.2,"読谷村字高志保915, 中頭郡, 47"
83,SOLiS GRANDE,0.0,0.1,"北谷町字美浜9-49, 中頭郡, 47"
84,PIZZA HOUSE Jr MaxValu Awase ,0.0,3.5,"泡瀬4-5-7, Okinawa, 47"
85,Posillipo -cucina Meridionale,0.0,7.7,"瀬長 174-5, Tomigusuku, 47"
86,Sempre Pizza Aeon Mall Okinawa Rycom,0.0,4.7,"北中城村アワセ土地区画整理事業区域内4街区, 中頭郡, 47"
87,Pizza Sun,0.0,6.7,"北谷町美浜9-17, 中頭郡, 47"
88,L'Osteria,0.0,7.3,"Dreifaltigkeitsgasse 10, Salzburg, 5"
89,PizzaMann,0.0,4.1,"Aiglhofstr. 1, Salzburg, 5"
90,Le Tono du Village,0.0,6.9,"Le Bourg, Saint-Laurent-sur-Oust, 56"
91,"Coskun & Ugur , Döner und Pizza",0.0,7.1,"Kalsdorferstr. 6, Fernitz, 6"
92,Pizza Taxi Da Pina,0.0,3.6,"Kärntner Str. 167, Graz-Neuhart, 6"
93,Pizzeria Forno Antico,0.0,6.3,"Neudorferstr. 65, Graz, 6"
94,Pizzaiolo,0.0,9.1,"Am Dietrichsteinplatz 7, Graz, 6"
95,Biarritz Pizza,0.0,7.1,"65 ave Verdun, Biarritz, 64"
96,Monster Pizza,0.0,8.1,"3 rue Gén Leclerc, Truchtersheim, 67"
97,MiTo,0.0,4.7,"8 place d'Austerlitz, Strasbourg, 67"
98,Vapiano,0.0,6.1,"Place des Halles, Strasbourg, 67"
99,Ciao Pizza,0.0,9.0,"2 A Denise Ferrier, Pfastatt, 68"
100,Allo Pizza Rapido,0.0,8.3,"13 Rue Bourgogne, Lyon, 69"
101,Pizzeria Pomodoro,0.0,5.4,"Dorfstr. 14, St. Anton am Arlberg, 7"
102,Anthony's,0.0,6.6,"Anthony's Hotel, St. Anton am Arlberg, 7"
103,Mamma Mia,0.0,4.1,"Kiebachgasse 2, Innsbruck, 7"
104,Trattoria Due Sicilie,0.0,6.8,"Höttingergasse 15, Innsbruck, 7"
105,"Loretto Cafe-Restaurant-, Pizzeria",0.0,6.4,"Lorettoweg 1, Thaur, 7"
106,DBD Tosca,0.0,7.2,"13 Route Beaune, Saint Pantaléon, 71"
107,Il Mulino,0.0,7.2,"Via delle Cartiere 36, Amalfi, 72"
108,Paradiso Pizza,0.0,7.7,"20 via d'Aoste, Chamonix, 74"
109,Carmine Café,0.0,7.0,"73 avenue de Suffren, Paris, 75"
110,Pratolina,0.0,7.7,"11 boulevard de Bonne Nouvelle, Paris, 75"
111,Pink Flamingo,0.0,7.1,"105 Rue Vieille Du Temple, Paris, 75"
112,Pizza Julia,0.0,9.1,"43 rue de Charenton, Paris, 75"
113,Iovine's,0.0,8.3,"7 bis rue du Colonel Driant, Paris, 75"
114,Brava Pizza,0.0,6.9,"38 rue du Cardinal Lemoine, Paris, 75"
115,Papacionu,0.0,9.0,"7 rue Cadet, Paris, 75"
116,Cafe Di Roma,0.0,6.9,"35 ave Champs Elysées, Paris, 75"
117,Pizza Pino,0.0,7.2,"31-33 ave Champs Elysées, Paris 8, 75"
118,Fafa Pizza,0.0,6.8,"27 rue Pierre Fontaine, Paris, 75"
119,The Brooklyn Pizzeria,0.0,4.5,"33 boulevard Beaumarchais, Paris, 75"
120,Paris Beaubourg,0.0,7.1,"23 rue Saint-Merri, Paris, 75"
121,Ricci,0.0,6.2,"73 avenue Bosquet, Paris, 75"
122,Pizza Iolanda,0.0,6.4,"105 quai Branly, Paris, 75"
123,Ristorante Del Arte,0.0,4.3,"Route Nationale 10, Coignières, 78"
124,Doy Doy Pizza Fast Food,0.0,7.3,"Cumhuriyet Cad., Kilis, 79"
125,Isola Bella,0.0,7.3,"Inselstr. 8, Bregenz, 8"
126,Jerry's,0.0,7.5,"Jordbrovej 11, Aarhus, 82"
127,Viking Pizza,0.0,6.1,"Østergade 53, Rudkøbing, 83"
128,Gorm's,0.0,6.6,"Terminalgade 2, Kastrup, 84"
129,Juventus Pizzeria og Steakhouse,0.0,2.7,"Solrød Strandvej 85 B, Solrød Strand, 84"
130,Massimo,0.0,8.3,"Amagerboulevard 134, København S, 84"
131,Toscana Due,0.0,7.2,"Amager Boulevard 2, Copenhagen, 84"
132,Selina's Pizza,0.0,6.6,"Holbergsgade 26, København K, 84"
133,Behov,0.0,7.8,"Rentemestervej 94, Copenhagen, 84"
134,Bæst,0.0,7.7,"Guldbergsgade 29, Copenhagen, 84"
135,Itzi Pitzi Pizza,0.0,6.3,"Sønder Boulevard 51, København V, 84"
136,ych!,0.0,7.2,"Enghave Plads 9, Copenhagen, 84"
137,Il Sestante,0.0,5.1,"Piaristengasse 50, Vienna, 9"
138,Pizza Mari,0.0,9.1,"Leopoldsgasse 23 a, Vienna, 9"
139,Regina Margherita,0.0,8.5,"Wallnerstr. 4, Vienna, 9"
140,Domino's Pizza,0.0,7.7,"31 avenue de Fontainebleau, Paray-Vieille-Poste, 91"
141,Patrizia,0.0,7.3,"72 route de la Reine, Boulogne-Billancourt, 92"
142,Vapiano,0.0,5.9,"2 place du Dôme Centre, Paris, 92"
143,Chez Antoine,0.0,8.1,"2 avenue de la Republique, Vincennes, 94"
144,Pizzeria San Francisco,0.0,4.6,"Avenida de l'Alegría, 43, Elx, A"
145,Papa Baldy's Pizza,0.0,8.3,"3722-57th Avenue, Red Deer, AB"
146,Famoso Neapolitan Pizzeria,0.0,6.7,"5016 51 Avenue, Red Deer, AB"
147,Papa John's Pizza,0.0,6.0,"3701 50Th Av #1, Red Deer, AB"
148,Big Daddy's Pizza,0.0,8.0,"21 Beju Industrial Drive, Sylvan Lake, AB"
149,Dino's 2 for 1 Pizza & Pasta,0.0,8.2,"130-3121 49 Avenue, Red Deer, AB"
150,The Pizza Boxx,0.0,3.2,"7 88 Howarth Street, Red Deer, AB"
151,Piccolo Pizza,0.0,4.3,"5013 50 Street, Bentley, AB"
152,Angelo's Pizza & Pasta,0.0,7.8,"5009 50 Avenue, Wetaskiwin, AB"
153,Pizza Hut,0.0,1.2,"249 3rd Avenue W, Drumheller, AB"
154,Nitza's Pizza,0.0,6.2,"4302 50 Street, Leduc, AB"
155,Basile's 2 For 1 Pizza & Pasta,0.0,8.0,"101-4911 50 Avenue, Leduc, AB"
156,Panago Pizza,0.0,8.1,"5005 - 51st Avenue, Leduc, AB"
157,Royal Pizza,0.0,7.1,"1214 101 Street SW, Edmonton, AB"
158,Domino's Pizza,0.0,4.1,"5401 Discovery Way, Leduc, AB"
159,Domino's Pizza,0.0,5.4,"5802 50th Street, Beaumont, AB"
160,Maggie's Pizzeria,0.0,4.3,"5707-50th Street, Leduc, AB"
161,Creekwood Pizza,0.0,4.6,"404 Chappelle Dr SW, Edmonton, AB"
162,Ripe Tomato Pizza,0.0,7.4,"5051 Ellerslie Road SW, Edmonton, AB"
163,Jack's Pizza Cafe,0.0,6.0,"6709 Ellerslie Road SW, Edmonton, AB"
164,Panago Pizza,0.0,6.5,"11152 Ellerslie Road SW, Edmonton, AB"
165,Pizza 73,0.0,5.8,"5103 50 Avenue, Leduc, AB"
166,Atlas Pizza & Sports Bar,0.0,6.3,"6060 Memorial Dr NE, Calgary, AB"
167,Famoso Pizzeria,0.0,6.7,"5 High Street SE, Calgary, AB"
168,Ab King Pizza,0.0,7.8,"6208 Rundlehorn Dr NE, Calgary, AB"
169,Canadian Pizza Unlimited,0.0,7.4,"356 Cranston Road SE, Calgary, AB"
170,Windsor Pizza,0.0,6.2,"10822 50 Street SE, Calgary, AB"
171,Cityscape Pizza,0.0,6.6,"3880 104 Ave NE, Calgary, AB"
172,Scotian Style,0.0,7.4,"5268 Marlborough Drive NE, Calgary, AB"
173,Pizza Time,0.0,7.2,"5324 17 Ave SE, Calgary, AB"
174,Beer Revolution,0.0,7.7,"4307 130 Avenue SE, Calgary, AB"
175,Jeanne's Pizza Pantry,0.0,5.8,"2741 17th Avenue SW, Calgary, AB"
176,UNA Pizza + Wine,0.0,8.0,"618 17th Avenue SW, Calgary, AB"
177,Crispy Crust Pizza,0.0,6.9,"464 Woodbine Boulevard SW, Calgary, AB"
178,Niko's Pizza,0.0,8.5,"1405 11 Street SW, Calgary, AB"
179,900 Degree Pizza,0.0,6.7,"2829 14 Street SW, Calgary, AB"
180,A Pizza Plus,0.0,7.3,"4623 Bow Trail SW, Calgary, AB"
181,Gaga Pizzeria,0.0,7.5,"1236 12 Avenue SW, Calgary, AB"
182,Posto Pizzeria and Bar,0.0,7.7,"1014 8th Street SW, Calgary, AB"
183,Blaze Fast Fire'd Pizza,0.0,7.1,"2032 4th St, Calgary, AB"
184,Lorenzo's Pizzeria,0.0,7.8,"3109 Palliser Drive SW, Calgary, AB"
185,Volos Pizza,0.0,7.5,"2103 26 Ave SW, Calgary, AB"
186,Lorenzo's Pizzeria,0.0,5.7,"515 17 Avenue SW, Calgary, AB"
187,PZA Parlour,0.0,8.0,"297 - 9737 Macleod Trail SW, Calgary, AB"
188,Il Centro,0.0,8.6,"6036 3 Street SW, Calgary, AB"
189,Michael's Pizza,0.0,6.4,"139 -10th Avenue SW, Calgary, AB"
190,Bella Roma Restaurant,0.0,6.9,"6449 Crowchild Trail SW, Calgary, AB"
191,Seniore's Pizza,0.0,7.1,"176 Bedford Drive NE, Calgary, AB"
192,Howie's Pizza,0.0,6.3,"4704 26 Avenue SW, Calgary, AB"
193,Spiros On 17th,0.0,2.2,"1902 33 Street SW, Calgary, AB"
194,Azzurri Pizzeria,0.0,8.3,"2404 B Edmonton Trail NE, Calgary, AB"
195,Famoso Neapolitan Pizzeria,0.0,6.2,"2303 4th Street SW, Calgary, AB"
196,Without Papers Pizza,0.0,7.7,"1216 9th Avenue SE, Calgary, AB"
197,Coco Brooks - Highfield Industrial Park,0.0,3.5,"640 42 Avenue SE, Calgary, AB"
198,Avatara Pizza,0.0,6.9,"3406 3rd Avenue NW, Calgary, AB"
199,Double Zero Pizza Chinook,0.0,8.7,"1133 6455 Macleod Trail SW, Calgary, AB"
200,LDV Pizza Bar,0.0,7.4,"916 1st Avenue NE, Calgary, AB"
201,A Perfect Pizza,0.0,1.7,"1705 Macleod Trail SE, Calgary, AB"
202,Famoso Neapolitan Pizzeria,0.0,6.3,"125 Stewart Green SW, Calgary, AB"
203,Tom's House of Pizza,0.0,7.1,"7730 Macleod Trail SE, Calgary, AB"
204,Sammy's,0.0,7.6,"14707 Bannister Road SE, Calgary, AB"
205,Rio Pizza,0.0,6.4,"1510 14 St SW, Calgary, AB"
206,Beer Revolution,0.0,8.0,"1080 8 Street SW, Calgary, AB"
207,Sophies Pizza,0.0,7.9,"4808 Richmond Road SW, Calgary, AB"
208,Ristorante Pulcinella,0.0,8.8,"1147 Kensington Crescent NW, Calgary, AB"
209,Greco's Pizza & George's Lounge,0.0,5.1,"3511 17 Ave SW, Calgary, AB"
210,Western Pizza Express,0.0,6.3,"8407 Elbow Drive SW, Calgary, AB"
211,Hop In Brew Pub,0.0,8.1,"213 12 Avenue SW, Calgary, AB"
212,Inglewood Pizza,0.0,7.2,"1225 9 Ave SE, Calgary, AB"
213,Pizza Bob's Classic Pie,0.0,7.8,"2610 Kensington Road NW, Calgary, AB"
214,Bow Tie Pizza,0.0,6.9,"4817 Centre Street NW, Calgary, AB"
215,Blowers & Grafton,0.0,6.6,"709 Edmonton Trail NE, Calgary, AB"
216,Big John's Pizza & Donairs,0.0,7.4,"1403 8 Street SW, Calgary, AB"
217,4th Street Pizza,0.0,7.4,"2105 Edmonton Trl NE, Calgary, AB"
218,Sophies Pizza,0.0,7.1,"35 Mackenzie Way SW, Airdrie, AB"
219,Pizza Panorama,0.0,5.3,"1110 Panatella Boulevard, Calgary, AB"
220,Chicago Deep Dish Pizza,0.0,7.2,"2002 Luxstone Link SW, Airdrie, AB"
221,A Perfect Pizza,0.0,1.5,"2903 Kingsview Boulevard SE, Airdrie, AB"
222,Little Caesars Pizza,0.0,6.8,"1800 Market St SE, Airdrie, AB"
223,Alexanders Steakhouse & Pizzaria,0.0,6.9,"310-800 Veterans Boulevard NW, Airdrie, AB"
224,Boston Pizza,0.0,6.0,"261055 CrossIron Blvd, Rocky View, AB"
225,Pizza Cottage,0.0,5.6,"800 Yankee Valley Boulevard, Airdrie, AB"
226,Papa John's Pizza,0.0,7.3,"114 Sierra Springs Drive Se, Airdrie, AB"
227,Little Caesars Pizza,0.0,5.5,"3 Stonegate Dr NW, Airdrie, AB"
228,Calgary Pizza Unlimited,0.0,6.8,"121 Main Street S, Airdrie, AB"
229,Backstreet West Pub & Pizza,0.0,4.9,"407 Laval Boulevard W, Lethbridge, AB"
230,Panago Pizza,0.0,2.7,"12 - 550 University Drive, West Lethbridge, AB"
231,Macleods Restaurant And Lounge,0.0,6.0,"271-23rd Street, Fort MacLeod, AB"
232,A-1 Pizza,0.0,5.7,"970 Main Street, Pincher Creek, AB"
233,Tom's House of Pizza,0.0,8.2,"300-235 Milligan Drive, Okotoks, AB"
234,Jon's Pizza,0.0,10.0,"20 Douglas Woods Drive SE, Calgary, AB"
235,Hojy's Pizza Special,0.0,6.5,"2A-1110 Canterbury Drive SW, Calgary, AB"
236,Fast-Lane Pizza,0.0,6.5,"675 Acadia Drive SE, Calgary, AB"
237,Vern's Pizza,0.0,6.5,"575-28th Street  SE, Calgary, AB"
238,Domino's Pizza,0.0,5.9,"3457 Douglasdale Boulevard SE, Calgary, AB"
239,Pizza 73,0.0,5.1,"5155 130 Avenue SE, Calgary, AB"
240,Royal Pizza,0.0,7.0,"16721 127 Street, Edmonton, AB"
241,Tony's Pizza & Italian Restaurant,0.0,8.4,"9605 111 Avenue NW, Edmonton, AB"
242,UFO Pizza,0.0,7.5,"5245 167 Ave NW, Edmonton, AB"
243,Laziza,0.0,5.3,"154-15277 Castle Downs Road NW, Edmonton, AB"
244,LovePizza,0.0,7.0,"10196 109 Street, Edmonton, AB"
245,Chicago Joe's Pizza & Pub,0.0,7.2,"10425 158 Ave NW, Edmonton, AB"
246,Famoso,0.0,5.0,"13655 Saint Albert Trail, Edmonton, AB"
247,Capital Pizza,0.0,6.0,"8304 160 Ave NW, Edmonton, AB"
248,Famoso Neapolitan Pizzeria,0.0,5.1,"15745 97th Street NW, Edmonton, AB"
249,Blaze Fast-Fire'd Pizza,0.0,3.9,"12010 104 Ave NW, Edmonton, AB"
250,Panini's Italian Cucina,0.0,7.6,"8544 Jasper Avenue, Edmonton, AB"
251,Famoso Neapolitan Pizzeria,0.0,6.3,"11750 Jasper Avenue NW, Edmonton, AB"
252,Rosso Pizzeria,0.0,8.0,"8738 109 Street NW, Edmonton, AB"
253,Nitza's Pizza,0.0,7.0,"80 Mckenney Ave, St Albert, AB"
254,Panago Pizza,0.0,5.4,"16652 - 95th Street, Edmonton, AB"
255,DJ's Lounge and Cafe,0.0,8.9,"105-50 St Thomas Street, St. Albert, AB"
256,The Stone & Wheel Pizzeria,0.0,7.3,"17 Fairway Drive NW, Edmonton, AB"
257,Royal Pizza,0.0,9.3,"290 Saddleback Road NW, Edmonton, AB"
258,Slice Pizzeria,0.0,5.9,"2382 23 Ave NW, Edmonton, AB"
259,Monty's Pizza,0.0,7.7,"1027 Potter Greens Drive NW, Edmonton, AB"
260,Buco Pizzeria + Vino Bar,0.0,6.0,"1249 Windermere Way SW, Edmonton, AB"
261,Best Bite,0.0,4.9,"324 Windermere Road NW, Edmonton, AB"
262,Vaticano Cucina,0.0,8.2,"10310 45 Avenue NW, Edmonton, AB"
263,Pizza 38,0.0,5.3,"5403 38 Avenue NW, Edmonton, AB"
264,Pizza Unlimited & Fried Chicken,0.0,6.6,"3911 106 Street, Edmonton, AB"
265,Towne Pizza,0.0,2.8,"1709 Towne Centre Boulevard NW, Edmonton, AB"
266,Royal Pizza,0.0,7.4,"10433-80 Ave NW, Edmonton, AB"
267,Sal's Famous Pizza & Donairs,0.0,5.9,"10321-100 Avenue, Morinville, AB"
268,Royal Pizza,0.0,9.1,"590 Baseline Road, Sherwood Park, AB"
269,Blaze Fast-Fire'd Pizza,0.0,7.9,"7000 Emerald Dr, Sherwood Park, AB"
